2026-07-30 14:46:45 | WARNING  | shms.config |  INTERNAL_API_TOKEN not set. Generated temporary token.
2026-07-30 14:46:45 | INFO     | shms.app | 2026-07-30 14:46:45.325442] --- app.py MODULE LOADED ---
2026-07-30 14:47:12 | WARNING  | shms.config |  INTERNAL_API_TOKEN not set. Generated temporary token.
2026-07-30 14:47:12 | INFO     | shms.app | 2026-07-30 14:47:12.929316] --- app.py MODULE LOADED ---
2026-07-30 14:47:40 | WARNING  | shms.config |  INTERNAL_API_TOKEN not set. Generated temporary token.
2026-07-30 14:47:51 | WARNING  | shms.config |  INTERNAL_API_TOKEN not set. Generated temporary token.
2026-07-30 14:51:32 | WARNING  | shms.config |  INTERNAL_API_TOKEN not set. Generated temporary token.
2026-07-30 14:51:32 | INFO     | shms.app | 2026-07-30 14:51:32.710306] --- app.py MODULE LOADED ---
2026-07-30 14:52:13 | WARNING  | shms.config |  INTERNAL_API_TOKEN not set. Generated temporary token.
2026-07-30 14:52:14 | INFO     | shms.app | 2026-07-30 14:52:14.000080] --- app.py MODULE LOADED ---
2026-07-30 14:54:38 | WARNING  | shms.config |  INTERNAL_API_TOKEN not set. Generated temporary token.
2026-07-30 14:56:47 | WARNING  | shms.config |  INTERNAL_API_TOKEN not set. Generated temporary token.
2026-07-30 14:56:48 | INFO     | shms.app | 2026-07-30 14:56:48.034949] --- app.py MODULE LOADED ---
2026-07-30 14:56:48 | WARNING  | shms.config |  INTERNAL_API_TOKEN not set. Generated temporary token.
2026-07-30 14:56:48 | INFO     | shms.app | 2026-07-30 14:56:48.799625] --- app.py MODULE LOADED ---
2026-07-30 14:56:48 | INFO     | shms.app | INIT] Starting background tasks for Acc KDI...
2026-07-30 14:56:48 | INFO     | shms.app | ACC KDI] Starting background task for acc3-kdi-04...
2026-07-30 14:56:48 | INFO     | shms.app | ACC KDI] Starting background task for acc2-kdi-01...
2026-07-30 14:56:48 | INFO     | shms.app | Client connected: QHZQeDzhJxLqZC0vAAAC
2026-07-30 14:56:48 | INFO     | shms.app | Client connected: S1AHVEcGTQ8DMYkMAAAD
2026-07-30 14:56:48 | INFO     | shms.app | ACC KDI] Connected to 103.111.81.238:5554 (acc3-kdi-04)
2026-07-30 14:56:48 | INFO     | shms.app | ACC KDI] Connected to 103.111.81.238:5558 (acc2-kdi-01)
2026-07-30 14:56:57 | INFO     | shms.app | ACC KDI] acc3-kdi-04 HEARTBEAT: Received 1000 packets total.
2026-07-30 14:56:57 | INFO     | shms.app | ACC KDI] acc2-kdi-01 HEARTBEAT: Received 1000 packets total.
2026-07-30 14:57:06 | INFO     | shms.app | ACC KDI] acc3-kdi-04 HEARTBEAT: Received 2000 packets total.
2026-07-30 14:57:06 | INFO     | shms.app | ACC KDI] acc2-kdi-01 HEARTBEAT: Received 2000 packets total.
2026-07-30 14:57:15 | INFO     | shms.app | ACC KDI] acc2-kdi-01 HEARTBEAT: Received 3000 packets total.
